individualPosition,gameStarttimeTSamp,同隊-TOP,同隊-JUNGLE,同隊-MIDDLE,同隊-BOTTOM,同隊-UTILITY,敵隊-TOP,敵隊-JUNGLE,敵隊-MIDDLE,敵隊-BOTTOM,敵隊-UTILITY,timePlayed,勝負,擊殺,死亡,助攻,CS,經濟-TOP,經濟-JUNGLE,經濟-MIDDLE,經濟-BOTTOM,經濟-UTILITY,傷害-TOP,傷害-JUNGLE,傷害-MIDDLE,傷害-BOTTOM,傷害-UTILITY,承傷-TOP,承傷-JUNGLE,承傷-MIDDLE,承傷-BOTTOM,承傷-UTILITY,firstBloodKill,firstBloodAssist,controlWardsPlaced,wardsPlaced,visionScore,visionScorePerMinute,wardsKilled,dragonkills,teamId,隊伍擊殺數,隊伍死亡數,teamRiftHeraldKills,teamDragon,teamElderDragonKills,teamBaronKills
TOP,2022/06/30 00:16:01,Shyvana,Graves,Azir,Lucian,Nami,Gragas,LeeSin,Corki,Draven,Rakan,1722,False,4,3,7,201,12309,13858,11360,9432,7688,31497,21462,21284,16326,7874,38873,22331,27202,26337,21387,False,False,8,11,35,1.2432420000161877,6,0,100,20,36,1,0,0,0
MIDDLE,2022/06/29 01:49:43,Rumble,MonkeyKing,Ahri,Zeri,Rakan,Aatrox,Kindred,Leblanc,Draven,Renata,1877,True,2,4,16,242,12047,14539,13229,15060,8495,21737,20403,20335,20402,4292,19672,27605,22261,22963,19374,False,False,2,18,49,1.5804585511761968,18,0,200,28,24,0,0,0,1
MIDDLE,2022/06/29 00:58:59,Viktor,Rengar,Yone,Kalista,Blitzcrank,Gragas,Taliyah,Yasuo,Zeri,Renata,1645,False,4,7,4,232,12975,10586,13024,10294,6435,27101,14624,16306,12482,6030,14217,25260,22385,19909,18583,False,False,1,5,14,0.5115230295801567,5,0,200,18,32,0,0,0,0
MIDDLE,2022/06/29 00:21:45,Gragas,LeeSin,Ahri,Ezreal,Nautilus,Jax,MonkeyKing,Leblanc,Kaisa,Rakan,1796,False,2,5,11,211,14081,11386,11672,11817,6902,25719,17930,24307,19053,5162,32520,30463,23161,15469,15182,False,False,5,20,48,1.6065432477692985,11,0,200,20,28,1,0,0,1
MIDDLE,2022/06/28 23:28:07,Akshan,Taliyah,Viktor,Kaisa,Pyke,Jax,Zed,Galio,Ezreal,Bard,2245,False,1,7,9,304,12105,13255,14924,21215,9256,16134,25475,30922,36857,7289,31659,28740,20591,21243,23828,False,False,10,22,46,1.246758469921957,8,0,200,20,39,0,2,0,0
MIDDLE,2022/06/28 01:20:13,Cassiopeia,Shyvana,Qiyana,Ezreal,Nautilus,Gnar,Nidalee,Akshan,Kalista,Rakan,1231,True,6,4,1,139,9549,9357,10490,8731,5060,13353,14371,12065,9306,4622,13090,23109,15392,8286,13849,False,False,2,8,10,0.5051077504459176,2,0,100,19,21,1,1,0,1
MIDDLE,2022/06/27 23:42:44,Gnar,Qiyana,Akali,Senna,TahmKench,XinZhao,Sejuani,Azir,Ezreal,Karma,1946,True,11,2,7,268,14985,16698,16783,12002,10852,26881,26388,35113,17381,9144,30799,34049,30939,17885,35988,False,False,6,10,30,0.9413559159513881,5,0,100,35,20,1,1,0,1
MIDDLE,2022/06/27 14:28:08,Poppy,Viego,Sylas,Ezreal,Rakan,Fiora,Kayn,Lulu,Aphelios,Thresh,1866,False,10,5,4,277,10382,11224,16386,12461,7589,18104,12968,39409,26775,7359,22485,31000,35580,15687,17219,False,False,1,12,26,0.8673105898639651,6,0,100,19,22,1,1,0,1
MIDDLE,2022/06/27 01:43:32,Azir,LeeSin,Ahri,Jinx,Karma,Gangplank,Diana,Yasuo,Zeri,Amumu,1928,False,6,4,6,255,14299,10295,14559,13095,7015,26858,12755,28955,17368,8889,29022,39716,20273,18465,19100,False,False,6,32,58,1.8077121288679987,13,0,200,19,35,1,0,0,1
MIDDLE,2022/06/27 00:55:55,Jax,Diana,Corki,Lucian,Nami,Gragas,LeeSin,Leblanc,Draven,Renata,1894,True,7,5,4,299,14308,12371,16945,13318,8745,22774,14004,34494,16309,6664,28878,23782,16931,17412,11161,False,False,5,17,48,1.5424650322014906,6,0,100,20,15,2,2,0,1
JUNGLE,2022/06/27 00:17:48,Jax,Skarner,Ahri,Draven,Rakan,Gragas,Belveth,Lissandra,Ezreal,Renata,1525,True,2,3,10,21,11886,9798,12442,14305,7141,23354,10127,19238,23981,4759,23714,17765,17313,10687,12411,False,False,7,21,50,1.985166020111596,9,1,200,24,10,2,1,0,1
