individualPosition,gameStarttimeTSamp,同隊-TOP,同隊-JUNGLE,同隊-MIDDLE,同隊-BOTTOM,同隊-UTILITY,敵隊-TOP,敵隊-JUNGLE,敵隊-MIDDLE,敵隊-BOTTOM,敵隊-UTILITY,timePlayed,勝負,擊殺,死亡,助攻,CS,經濟-TOP,經濟-JUNGLE,經濟-MIDDLE,經濟-BOTTOM,經濟-UTILITY,傷害-TOP,傷害-JUNGLE,傷害-MIDDLE,傷害-BOTTOM,傷害-UTILITY,承傷-TOP,承傷-JUNGLE,承傷-MIDDLE,承傷-BOTTOM,承傷-UTILITY,firstBloodKill,firstBloodAssist,controlWardsPlaced,wardsPlaced,visionScore,visionScorePerMinute,wardsKilled,dragonkills,teamId,隊伍擊殺數,隊伍死亡數,teamRiftHeraldKills,teamDragon,teamElderDragonKills,teamBaronKills
UTILITY,2022/06/06 02:15:36,Sett,Amumu,Yone,KogMaw,Velkoz,Teemo,Jax,Vex,Lucian,Sivir,1716,True,4,7,8,46,12803,11216,14730,12770,8872,19953,10279,28475,24456,12718,22487,19242,23907,22200,13376,False,True,3,20,46,1.611168974684,9,0,100,40,22,2,2,0,1
BOTTOM,2022/06/06 01:06:03,Yone,RekSai,Darius,Lucian,Brand,Vayne,Kindred,Leblanc,Ezreal,Xerath,1419,False,2,4,1,139,7734,9086,5556,7271,5492,16047,15674,6670,7297,9266,19566,21415,14828,14852,13495,False,False,2,8,14,0.5992248171683822,2,0,100,15,32,0,1,0,0
BOTTOM,2022/06/06 00:36:15,Rengar,Ekko,Galio,Ezreal,Sylas,Fiora,MonkeyKing,Lux,Zeri,Senna,1251,False,2,5,3,116,8736,7358,7877,6509,5134,13405,9018,7181,7768,7950,21967,22963,21319,13061,16750,False,False,0,4,4,0.23120091799395548,1,0,200,15,35,1,1,0,0
TOP,2022/05/24 00:24:25,Teemo,Kayn,Zed,Lucian,Swain,Yorick,Zac,Caitlyn,Tristana,Thresh,1943,False,10,6,11,200,15432,13913,18559,12103,12019,34338,18287,52252,14728,26595,22830,40024,37048,30474,30848,False,False,1,10,22,0.6861729227775951,4,0,100,48,51,0,1,0,1
BOTTOM,2022/05/23 23:41:44,Jayce,Viego,Katarina,Vayne,Lux,Illaoi,MissFortune,Yasuo,Nidalee,Senna,2167,True,9,6,10,189,17070,15050,14344,14757,14027,29675,21822,26932,14596,28433,25250,31101,31155,25406,16947,False,False,4,15,36,0.9965516220643742,5,1,200,46,29,0,3,0,1
BOTTOM,2022/05/19 00:28:31,Sion,Hecarim,Xerath,Tristana,Blitzcrank,Ornn,Tryndamere,Yasuo,Samira,LeeSin,1620,True,15,3,4,199,12648,10864,11419,15164,9193,18308,10541,21089,20588,8782,22191,23761,11842,15474,11609,False,False,1,8,33,1.2369665379427157,2,1,100,36,14,1,4,0,1
BOTTOM,2022/05/18 23:54:03,Riven,Udyr,Xerath,Vayne,Nami,Darius,LeeSin,Yasuo,MissFortune,Lux,1746,True,7,3,9,155,14938,11603,13425,12573,9497,22919,15135,28997,9956,6183,25375,24298,8571,18527,12758,True,False,2,9,26,0.9053264463454754,7,0,200,40,19,1,3,0,1
TOP,2022/05/16 00:48:50,Garen,Diana,Yasuo,Jhin,Morgana,Quinn,Ekko,Chogath,Lucian,Senna,1623,False,3,3,3,135,7992,8541,11724,7046,7284,6534,10115,21014,12216,8673,20196,27415,23721,18996,18240,False,False,1,9,13,0.5077192999311114,0,0,200,19,42,0,0,0,0
TOP,2022/05/16 00:13:28,Vayne,Kayn,Yasuo,MissFortune,Annie,Yone,Zac,TwistedFate,Jhin,Senna,1295,True,2,4,2,112,7437,10329,10428,8759,6805,8513,8779,15594,11348,9358,10997,18012,12713,7613,4327,False,False,1,6,13,0.645054803222664,2,0,200,27,9,1,1,0,0
TOP,2022/05/15 23:17:52,Teemo,Graves,Yone,Kaisa,Sett,Fiora,Talon,Xerath,Draven,Senna,2766,True,13,10,8,262,20257,25229,16390,18896,13453,44771,54736,22327,48448,11542,54773,49363,43189,28554,49170,True,False,1,5,22,0.48652166403756786,4,0,200,58,50,1,2,0,2
MIDDLE,2022/05/14 00:56:16,Fiora,Nidalee,Yasuo,Kaisa,Lulu,Camille,Viego,Viktor,Lucian,Swain,2144,True,2,6,3,231,17655,11898,11772,19243,8985,35383,15205,7132,49930,3295,42481,33154,22486,18180,13108,False,False,4,15,36,1.011314609833688,4,0,200,31,27,1,2,0,1
